size,cutof,seq_time,p_inplace_time,p_best_span_time
10000,1,0.00155779,0.00327424,0.0200766
10000,10,0.00157815,0.0016362,0.0199068
10000,50,0.00162441,0.00189305,0.00956879
10000,100,0.00161741,0.000908967,0.00639885
10000,500,0.00169442,0.00111694,0.00372508
10000,1000,0.00167623,0.000912147,0.00271724
10000,10000,0.00169374,0.00169349,0.00167538
100000,1,0.020653,0.00874091,0.259126
100000,10,0.0203225,0.00578903,0.15578
100000,50,0.0206521,0.00490978,0.0998366
100000,100,0.0206385,0.00482437,0.0742378
100000,500,0.0206447,0.0051041,0.0319873
100000,1000,0.019979,0.00546768,0.0223979
100000,10000,0.0200645,0.00511617,0.0107814
1000000,1,0.238029,0.0796093,1.406
1000000,10,0.249602,0.0555532,1.18418
1000000,50,0.240774,0.0472594,0.866347
1000000,100,0.249426,0.0450234,0.699099
1000000,500,0.241805,0.0440809,0.351309
1000000,1000,0.248677,0.0440138,0.259824
1000000,10000,0.240768,0.0442521,0.131075
10000000,1,2.63682,0.799736,14.5006
10000000,10,2.63783,0.524005,11.256
10000000,50,2.63893,0.452796,7.41758
10000000,100,2.63537,0.453735,6.39154
10000000,500,2.64871,0.449784,3.51635
10000000,1000,2.64071,0.434183,2.86383
10000000,10000,2.63807,0.432691,1.55152
